mean_predicted,km_observed,ci_lower,ci_upper,n_patients,model,cancer,fold
0.8181425921040001,0.7333333333333333,0.35656185078653596,0.910937247149296,19,MCAT,BRCA,2
0.869169004360373,0.9411764705882352,0.6501789018555798,0.9914991055661495,19,MCAT,BRCA,2
0.8733754903642135,1.0,0.20380926326763904,0.9691797888667427,19,MCAT,BRCA,2
0.8829079425118398,0.8399999999999997,0.4874153421609519,0.9585812447231263,19,MCAT,BRCA,2
0.9004217032739776,1.0,1.0,1.0,19,MCAT,BRCA,2
0.9278096553335653,0.9375000000000001,0.6323454417389031,0.9909531417446664,20,MCAT,BRCA,2
0.07700521213438434,0.7999999999999997,0.40869078163340444,0.9458726458389115,19,MCAT,BRCA,3
0.29395612157787326,0.7617187500000003,0.40707599463761607,0.920879591035306,19,MCAT,BRCA,3
0.48713654606361906,0.8749999999999999,0.5859814368090156,0.9671888460291236,19,MCAT,BRCA,3
0.7010919868424041,1.0,1.0,1.0,19,MCAT,BRCA,3
0.8577954014884288,1.0,0.3340538792922218,0.9785610585261756,19,MCAT,BRCA,3
0.8774334163768824,0.81203007518797,0.37895157001923785,0.9563038477582505,19,MCAT,BRCA,3
0.8961744444163751,0.8484848484848484,0.5122402080231339,0.9604490698418037,19,MCAT,BRCA,3
0.9376578198426005,0.9411764705882352,0.6501789018555798,0.9914991055661495,19,MCAT,BRCA,3
0.9503308280334964,1.0,1.0,1.0,19,MCAT,BRCA,3
0.9515582629441737,0.9090909090909092,0.5080802057699292,0.9866738226678231,20,MCAT,BRCA,3
0.2732911496542939,0.8095238095238098,0.37823516938416923,0.9551121678148634,19,MCAT,BRCA,4
0.32454850800169,0.6907894736842104,0.34961166886658984,0.8779118493761344,19,MCAT,BRCA,4
0.5785827288968161,1.0,1.0,1.0,19,MCAT,BRCA,4
0.6435851029316062,0.8823529411764706,0.6059788995290964,0.9692092969361856,19,MCAT,BRCA,4
0.8210171209564334,1.0,1.0,1.0,19,MCAT,BRCA,4
0.9274345474769681,0.9090909090909092,0.5080802057699292,0.9866738226678231,19,MCAT,BRCA,4
0.9380382366793959,0.865740740740741,0.5521845172148943,0.9656064358086351,19,MCAT,BRCA,4
0.9396799629958529,0.9090909090909092,0.5080802057699292,0.9866738226678231,19,MCAT,BRCA,4
0.9609481396647731,0.9285714285714287,0.5907668674267574,0.98961982313685,19,MCAT,BRCA,4
0.9744939973303985,1.0,1.0,1.0,20,MCAT,BRCA,4
0.009128206407950012,0.6666666666666665,0.3370189325414018,0.8597117990844396,12,MCAT,GBMLGG,0
0.012156705689040951,0.4675324675324676,0.14842530845940638,0.7385950347880471,11,MCAT,GBMLGG,0
0.04710393486271627,0.5625,0.20942124371047172,0.8091709215309918,11,MCAT,GBMLGG,0
0.36880419046515395,0.681818181818182,0.1628484634074896,0.9223596993166128,12,MCAT,GBMLGG,0
0.6505172319086375,0.7272727272727271,0.29689209884730305,0.8451633859703083,11,MCAT,GBMLGG,0
0.825234120794049,1.0,1.0,1.0,11,MCAT,GBMLGG,0
0.857472118314954,1.0,1.0,1.0,12,MCAT,GBMLGG,0
0.8681933616064387,1.0,1.0,1.0,11,MCAT,GBMLGG,0
0.8705665102005944,1.0,1.0,1.0,11,MCAT,GBMLGG,0
0.871909632508289,0.8571428571428572,0.3340538792922218,0.9785610585261756,12,MCAT,GBMLGG,0
0.01700014502146535,0.3093750000000001,0.07423205585740353,0.5890341379355089,12,MCAT,GBMLGG,1
